City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
140,Lorengau,PG,2020-05-08 18:40:51,-2.02,147.27,81.5,79,99,3.13,overcast clouds,0,0
141,Dekar,BW,2020-05-08 18:45:27,-21.53,21.93,63.14,30,0,6.17,clear sky,0,0
142,Senica,SK,2020-05-08 18:43:42,48.68,17.37,64.4,45,39,3.36,scattered clouds,0,0
143,Nizhniy Kuranakh,RU,2020-05-08 18:45:29,58.84,125.49,27.46,97,100,9.13,light snow,0,0
144,Ambunti,PG,2020-05-08 18:45:29,-4.24,142.84,73.45,98,48,0.47,scattered clouds,0,0
145,Tiksi,RU,2020-05-08 18:38:01,71.69,128.87,14.85,96,100,17.9,snow,0,0
146,Constitucion,CL,2020-05-08 18:37:42,-35.33,-72.42,64.29,63,100,6.38,overcast clouds,0,0
147,Chapleau,CA,2020-05-08 18:45:30,47.84,-83.4,24.8,49,75,9.17,light snow,0,0
148,Makat,KZ,2020-05-08 18:45:30,47.65,53.35,72.61,23,0,8.7,clear sky,0,0
149,Husavik,IS,2020-05-08 18:36:26,66.04,-17.34,37.4,55,75,13.87,broken clouds,0,0
150,Amga,RU,2020-05-08 18:45:30,60.9,131.96,30.6,97,96,3.06,overcast clouds,0,0
151,Lompoc,US,2020-05-08 18:40:38,34.64,-120.46,82.99,39,20,6.93,few clouds,0,0
152,Denpasar,ID,2020-05-08 18:45:31,-8.65,115.22,77.0,100,40,8.05,light rain,0,0
153,Ayan,RU,2020-05-08 18:38:39,56.45,138.17,30.06,99,100,8.03,light snow,0,0
154,Santa Rita,BR,2020-05-08 18:45:31,-7.11,-34.98,86.0,66,75,13.87,broken clouds,0,0
155,Yerbogachen,RU,2020-05-08 18:39:10,61.28,108.01,28.54,84,0,2.35,clear sky,0,0
156,Tuktoyaktuk,CA,2020-05-08 18:36:45,69.45,-133.04,21.2,79,5,16.11,clear sky,0,0
157,Kalamnuri,IN,2020-05-08 18:45:32,19.67,77.33,86.36,34,0,6.31,clear sky,0,0
158,Rawson,AR,2020-05-08 18:40:43,-43.3,-65.1,77.67,25,100,14.65,overcast clouds,0,0
159,Coquimbo,CL,2020-05-08 18:37:48,-29.95,-71.34,60.8,72,40,10.29,scattered clouds,0,0
160,Souillac,MU,2020-05-08 18:37:17,-20.52,57.52,73.4,94,20,4.7,few clouds,0,0
161,Chibuto,MZ,2020-05-08 18:45:33,-24.69,33.53,64.65,78,0,4.83,clear sky,0,0
162,Cervo,ES,2020-05-08 18:45:33,43.67,-7.41,60.01,1,100,4.76,moderate rain,0,0
163,Atikokan,CA,2020-05-08 18:45:33,48.76,-91.62,41.97,49,100,11.86,overcast clouds,0,0
164,Kudahuvadhoo,MV,2020-05-08 18:41:11,2.67,72.89,85.51,76,100,13.65,overcast clouds,0,0
